location,x-axis,y-axis,z-axis,x-degree,y-degree,z-degree
bottom_right,0.3109625164634603,-0.2518204712222952,-0.042130136936704865,25.74408352621151,-30.801211102294797,-6.750839206495288
finger_2_dist,0.2274910902053892,-0.039537777165570866,0.06125373695717018,7.085851194714167,7.377016860358727,85.83091972395933
finger_2_prox,0.1717612974522496,-0.022979551002641603,0.055816900540953895,-2.552833883471042,8.207184023869342,77.87295995425877
center,0.0001717330367321003,-0.0004657587825221427,-0.018577063212890987,-12.140633322938204,-5.041954308521336,-1.5633192703077765
object,0.20556269075564199,0.032747951831994394,0.076680387846779,-1.5140886527767372,-0.07747141923591112,155.32285123276117
finger_1_dist,0.2643035831123805,0.06249184531006109,0.052528603768766446,-5.414816160503908,-33.249610594013475,-128.2631702716844
palm,0.14042576592260414,0.07156049662146524,0.058832172402270455,-5.574955875650241,-1.9146047235597752,-116.08048071881439
finger_1_prox,0.2330150979290278,0.0957906663841605,0.02673870340042095,6.577353966161192,-0.7034796376717963,-127.13693980011124
top_right,0.3092701711021481,0.2598848268472242,-0.04128427390824163,-11.498740358127405,-0.22552831955630653,-0.48371415278531465
top_left,-0.30036900559096563,0.2555834400698632,-0.01239014152273854,-26.425414821859928,13.305348235457055,-6.1686920259597535
bottom_left,-0.2964671806552726,-0.24755900431502204,-0.01510368676545426,29.02508839408195,16.018088954340588,7.011023684416204
